epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,205.907,1.10805,1.58365,1.12046,0.90247,0.92722,0.98591,0.47457,1.70806,2.2385,2.82284,0.000669536,0.000669536,0.000669536
26,213.884,1.55951,2.36188,1.56056,1,0.94988,0.995,0.44577,1.80318,2.32503,2.85112,0.0006834,0.0006834,0.0006834
27,222.282,1.46326,1.61392,1.7491,0.88658,0.78338,0.93944,0.3668,1.97875,2.42208,2.9611,0.000696208,0.000696208,0.000696208
28,230.284,0.49268,6.7552,0.55482,0.88658,0.78338,0.93944,0.3668,1.97875,2.42208,2.9611,0.00070796,0.00070796,0.00070796
29,238.615,1.01368,1.41927,1.45512,0.90463,0.5,0.82069,0.2385,2.04094,2.73042,2.87068,0.000718656,0.000718656,0.000718656
30,247.087,0.50988,4.84649,0.59725,1,0.28023,0.55997,0.16937,2.44488,2.99245,3.18035,0.000728296,0.000728296,0.000728296
31,255.238,0.94291,1.25433,1.18966,1,0.28023,0.55997,0.16937,2.44488,2.99245,3.18035,0.00073688,0.00073688,0.00073688
32,263.127,1.70442,1.75927,1.53315,1,0.28903,0.55936,0.15782,2.46721,2.91582,3.14086,0.000744408,0.000744408,0.000744408
33,271.438,1.3184,1.49806,1.6431,0.80094,0.80515,0.92041,0.32828,1.92826,2.35687,2.66357,0.00075088,0.00075088,0.00075088
34,279.366,0.84082,1.20148,1.18319,0.80094,0.80515,0.92041,0.32828,1.92826,2.35687,2.66357,0.000756296,0.000756296,0.000756296
35,287.819,1.29562,1.61198,1.56411,0.89769,1,0.97682,0.38294,1.76116,2.04649,2.47729,0.000760656,0.000760656,0.000760656
36,296.976,0.79892,1.04742,1.13134,1,0.97432,0.995,0.37973,1.91686,1.83781,2.64422,0.00076396,0.00076396,0.00076396
37,305.542,0.96988,1.1091,1.09616,1,0.97432,0.995,0.37973,1.91686,1.83781,2.64422,0.000766208,0.000766208,0.000766208
38,313.637,0.74853,1.41982,1.27722,0.96792,1,0.995,0.37869,1.84312,2.14221,2.64392,0.0007674,0.0007674,0.0007674
39,321.894,0.86453,1.08172,1.14044,0.95601,0.9,0.98591,0.35364,1.94544,2.11889,2.78543,0.000767536,0.000767536,0.000767536
40,329.94,1.04957,1.18222,1.16054,0.95601,0.9,0.98591,0.35364,1.94544,2.11889,2.78543,0.000766616,0.000766616,0.000766616
41,338.064,0.79482,1.23912,1.04631,0.93929,0.9,0.96167,0.32366,1.94224,2.20423,2.67732,0.00076464,0.00076464,0.00076464
42,346.328,0.97285,1.09118,0.95877,0.85675,0.8,0.81557,0.31641,1.85085,2.15366,2.69444,0.000761608,0.000761608,0.000761608
43,354.497,1.35655,1.27332,1.76047,0.85675,0.8,0.81557,0.31641,1.85085,2.15366,2.69444,0.00075752,0.00075752,0.00075752
